,LOCATION,Latitude,Longitude
0,"ALBERT COLLEGE,NORTH WEST",53.3854605,-6.2606336
1,"ALBERT COLLEGE,NORTH WEST",53.38323010000001,-6.2633996
2,"BEECHILL ,SOUTH EAST",53.3153439,-6.2316521
3,"BELCAMP,NORTH CENTRAL",53.40164290000001,-6.185657399999999
4,"BELCAMP,NORTH CENTRAL",53.1423672,-7.692053599999999
5,"BELCAMP ,NORTH CENTRAL",53.40164290000001,-6.185657399999999
6,"BELCAMP ,NORTH CENRAL",53.40164290000001,-6.185657399999999
8,"BELCAMP ,NORTH CENTRAL",39.4737199,-76.24134459999999
9,"DARNDALE ,NORTH CENTRAL",53.39830850000001,-6.1923102
10,"DONAGHMEDE ,NORTH CENTRAL",53.1423672,-7.692053599999999
11,"JOHN PAUL,CENTRAL",53.1423672,-7.692053599999999
12,"KILMORE ,NORTH CENTRAL",-37.3016566,144.9497232
14,"MARKIEVICZ,SOUTH CENTRAL",53.3780835,-6.2683085
15,"MOUNT OLIVE,NORTH CENTRAL",53.3901384,-6.166508599999999
16,"OSCAR TRAYNOR,NORTH CENTRAL",53.3983929,-6.223056499999999
17,"RINGSEND,SOUTH EAST",53.1423672,-7.692053599999999
18,"RINGSEND ,SOUTH EAST",53.3397995,-6.2234472
19,"ST ANNES,NORTH CENTRAL",53.3409467,-6.2581414
20,"ST ANNES,NORTH CENTRAL",53.1423672,-7.692053599999999
22,"ST ANNES,NORTH CENTRAL",39.0997265,-94.5785667
23,"ST ANNES ,NORTH CENTRAL",53.3409467,-6.2581414
24,"ST ANNES ,NORTH CENTRAL",53.37822680000001,-6.1789172
25,"ST ANNES ,NORTH CENTRAL",52.6378265,-8.6503003
26,"ST ANNES ,NORTH CENTRAL",53.1423672,-7.692053599999999
27,"ST ANNES ,NORTH CENTRAL",53.3749985,-6.1375215
28,"WALKINSTOWN,SOUTH CENTRAL",53.3192335,-6.332096600000001
29,"FR. COLLINS,NORTH CENTRAL",53.40518909999999,-6.1607138
30,"MILLBROOK,NORTH CENTRAL",53.1423672,-7.692053599999999
32,"ALFIE BYRNE,NORTH CENTRAL",53.3610616,-6.2283117
33,"COULTRY ,NORTH WEST",53.3498053,-6.2603097
35,"DONAGHMEDE,NORTH CENTRAL",53.3986397,-6.161639
36,"FARNHAM,NORTHWEST",53.3835676,-6.308767
37,"IRISHTOWN ,SOUTH EAST",53.3460861,-6.2542392
38,"JOHN PAUL,CENTRAL",53.3726713,-6.2993234
39,"JOHNSTOWN,NORTH WEST",53.3866609,-6.296081399999999
40,"KILDONAN ,NORTH WEST",53.4029762,-6.3218038
41,"LE FANU,SOUTH CENTRAL",51.881045,-8.470809
42,"LE FANU ,SOUTH CENTRAL",53.3364723,-6.354389299999999
43,"LE FANU ,SOUTH CENTRAL",53.3418194,-6.3574799
44,"LE FANU ,SOUTH CENTRAL",53.4891345,-10.0202388
45,"LE FANU ,SOUTH CENTRAL",53.3498053,-6.2603097
46,"LEIN ROAD,NORTH CENTRAL",53.3830566,-6.1886224
47,"MARKIEVICZ ,SOUTH CENTRAL",53.3498053,-6.2603097
48,"MELLOWES,NORTH WEST",53.4015006,-6.3042406
49,"MELLOWES,NORTH WEST",53.3900207,-6.3107352
50,"MILLBROOK,NORTH CENTRAL",53.3973319,-6.181106400000001
51,"OSCAR TRAYNOR,NORTH CENTRAL",53.1423672,-7.692053599999999
52,"PLUNKETT AVENUE,NORTH WEST",53.3966242,-6.3102689
53,"POPPINTREE,NORTH WEST",53.3498053,-6.2603097
54,"POPPINTREE,NORTH WEST",53.4001653,-6.285257700000001
55,"RINGSEND,SOUTH EAST",53.3460861,-6.2542392
56,"RINGSEND,SOUTH EAST",53.3418611,-6.226712099999999
60,"ST ANNES ,NORTH CENTRAL",53.3718307,-6.179344599999999
61,"WALKINSTOWN,SOUTH CENTRAL",53.3480842,-6.2653344
62,"COULTRY,NORTH WEST",53.3987109,-6.258986699999999
63,"NAUL,NORTH WEST",53.5850362,-6.288999899999999
64,"JOHNSTOWN,NORTH WEST",40.32674069999999,-78.9219698
65,"ALFIE BYRNE ,NORTH CENTRAL",53.1423672,-7.692053599999999
66,"FAIRVIEW,NORTH CENTRAL",53.1423672,-7.692053599999999
68,"MC AULEY,NORTH CENTRAL",53.1423672,-7.692053599999999
71,"ALBERT COLLEGE ,NORTH WEST",53.3854605,-6.2606336
72,"BRICKFIELDS ,SOUTH CENTRAL",53.3498053,-6.2603097
73,"BRICKFIELDS ,SOUTH CENTRAL",53.3305967,-6.3034843
74,"BUNTING ROAD,SOUTH CENTRAL",53.31981219999999,-6.3269058
75,"BUSHY,SOUTH CENTRAL",53.321586,-6.234215
76,"BUSHY ,SOUTH CENTRAL",53.3024466,-6.2947503
77,"ELLENFIELD,NORTH CENTRAL",53.388066,-6.250071999999999
78,"FAIRVIEW ,NORTH CENTRAL",53.1423672,-7.692053599999999
79,"FARNHAM,NORTH WEST",53.383221,-6.2987297
84,"JOHNSTOWN,NORTH WEST",53.3498053,-6.2603097
85,"KILDONAN,NORTH WEST",53.4029762,-6.3218038
87,"LE FANU ,SOUTH CENTRAL",53.3410111,-6.3737546
88,"MARKIEVICZ ,SOUTH CENTRAL",53.3384391,-6.3631932
89,"MARTIN SAVAGE ,CENTRAL",53.3742879,-6.3321533
90,"OSCAR TRAYNOR,NORTH CENTRAL",53.388066,-6.250071999999999
92,"RINGSEND ,SOUTH EAST",53.3418611,-6.226712099999999
94,"STANNAWAY ,SOUTH CENTRAL",53.31957,-6.3005847
95,"STREAMVILLE,NORTH CENTRAL",53.4000012,-6.172969
96,"SUNDRIVE ,SOUTH CENTRAL",53.3278429,-6.3009147
97,"TOLKA VALLEY,NORTH WEST",53.383221,-6.2987297
99,"BENMADIGAN,SOUTH CENTRAL",53.3340089,-6.314559399999999
100,"BRICKFIELDS,SOUTH CENTRAL",53.3311824,-6.3076327
101,"POPPINTREE ,NORTH WEST",53.4070545,-6.2785651
102,"POPPINTREE NORTH,NORTH WEST",53.4070545,-6.2785651
103,"PEARSE PARK,SOUTH CENTRAL",53.3230801,-6.313147900000001
